ID,Type,Description,Owner,Status,Impact,Probability,Mitigation,TargetDate
RAID-1,Risk,Risk concerning external API integration or scope creep.,Sponsor,Open,High,Medium,Detailed plan to address risk,2024-03-06
RAID-2,Issue,Issue concerning external API integration or scope creep.,Charlie,Mitigated,High,High,Detailed plan to address issue,2024-05-29
RAID-3,Risk,Risk concerning external API integration or scope creep.,Charlie,Open,Low,High,Detailed plan to address risk,2024-03-15
RAID-4,Issue,Issue concerning external API integration or scope creep.,Bob,Open,Low,Low,Detailed plan to address issue,2024-04-11
RAID-5,Issue,Issue concerning external API integration or scope creep.,Bob,Open,High,Medium,Detailed plan to address issue,2024-06-11
RAID-6,Risk,Risk concerning external API integration or scope creep.,Eve,Mitigated,Low,Low,Detailed plan to address risk,2024-03-04
RAID-7,Assumption,Assumption concerning external API integration or scope creep.,Fiona,Closed,High,Medium,Detailed plan to address assumption,2024-04-13
RAID-8,Dependency,Dependency concerning external API integration or scope creep.,David,Open,High,High,Detailed plan to address dependency,2024-04-28
RAID-9,Issue,Issue concerning external API integration or scope creep.,Charlie,Open,High,High,Detailed plan to address issue,2024-03-16
RAID-10,Dependency,Dependency concerning external API integration or scope creep.,Sponsor,Closed,High,Low,Detailed plan to address dependency,2024-04-17
RAID-11,Dependency,Dependency concerning external API integration or scope creep.,Fiona,Open,High,Low,Detailed plan to address dependency,2024-06-30
RAID-12,Risk,Risk concerning external API integration or scope creep.,Vendor,Open,High,Medium,Detailed plan to address risk,2024-07-03
RAID-13,Issue,Issue concerning external API integration or scope creep.,Eve,Closed,Medium,Low,Detailed plan to address issue,2024-06-05
RAID-14,Assumption,Assumption concerning external API integration or scope creep.,Fiona,Open,Low,High,Detailed plan to address assumption,2024-06-30
RAID-15,Risk,Risk concerning external API integration or scope creep.,Vendor,Closed,Low,Low,Detailed plan to address risk,2024-04-09
RAID-16,Issue,Issue concerning external API integration or scope creep.,Fiona,Mitigated,High,Medium,Detailed plan to address issue,2024-07-14
RAID-17,Dependency,Dependency concerning external API integration or scope creep.,Bob,Open,Medium,Low,Detailed plan to address dependency,2024-05-09
RAID-18,Assumption,Assumption concerning external API integration or scope creep.,Alice,Open,Low,High,Detailed plan to address assumption,2024-06-02
RAID-19,Issue,Issue concerning external API integration or scope creep.,Charlie,Open,High,Medium,Detailed plan to address issue,2024-04-10
RAID-20,Dependency,Dependency concerning external API integration or scope creep.,Alice,Open,Medium,High,Detailed plan to address dependency,2024-05-04
RAID-21,Risk,Risk concerning external API integration or scope creep.,Fiona,Open,High,High,Detailed plan to address risk,2024-04-13
RAID-22,Risk,Risk concerning external API integration or scope creep.,Alice,Open,Medium,High,Detailed plan to address risk,2024-07-07
RAID-23,Risk,Risk concerning external API integration or scope creep.,Bob,Open,Medium,Low,Detailed plan to address risk,2024-06-27
RAID-24,Risk,Risk concerning external API integration or scope creep.,Sponsor,Open,High,Medium,Detailed plan to address risk,2024-05-18
